Text,Score
"This product is absolutely amazing, I love it so much and will buy again",5
"Terrible quality, broke after one day, complete waste of money",1
"It's okay, does the job but nothing special about it",3
"Best purchase I have made this year, highly recommend to everyone",5
"Not good at all, very disappointed with this item",2
"Average product, works as expected, nothing more nothing less",3
"Absolutely fantastic, exceeded all my expectations, wonderful",5
"Horrible experience, would not recommend to anyone, awful",1
"It is fine I guess, does what it says on the box",3
"Great value for money, very happy with my purchase",4
"Do not buy this, it stopped working after a week, disappointing",1
"Decent enough for the price, not amazing but not bad either",3
"Loved it, my whole family enjoys this product every day",5
"Poor packaging and the item arrived damaged, very upset",1
"It's an okay product, exactly what I expected, no surprises",3
"Excellent quality, fast shipping, will definitely order again",5
"Not worth the money, quality is really bad, avoid this",2
"Pretty average, nothing to complain about but nothing exciting",3
"Superb taste and freshness, this is now my favorite brand",5
"Disgusting, tasted stale and old, I want a refund immediately",1
"Fine for daily use, does not stand out but gets the job done",3
"Perfect gift idea, everyone loved it, will buy more",5
"Waste of money, broke instantly, never buying this again",1
"It's alright, not the best but not the worst either",3
"Highly satisfied, the best I have tried so far, amazing quality",5
"Really bad experience, customer service was unhelpful too",1
"Just an average product, meets basic expectations only",3
"Incredible flavor and freshness, exceeded my expectations completely",5
"Not impressed, tastes artificial and cheap, would not recommend",2
"Neutral feelings about this, it works but nothing memorable",3
